prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,"在app/services/craft_service.py中实现工艺步骤排序校验：当前create_craft_step未校验step_number的连续性和唯一性，可能导致同一collection下出现重复步骤号或跳号。请修改：创建时自动检测当前最大step_number并+1（而非依赖用户输入），同时新增reorder_steps(collection_id, step_list)方法支持拖拽重排，重排时使用db.session.bulk_update_mappings批量更新step_number",gpt-5.4,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
1,"在app/services/craft_service.py中实现工艺步骤排序校验：当前create_craft_step未校验step_number的连续性和唯一性，可能导致同一collection下出现重复步骤号或跳号。请修改：创建时自动检测当前最大step_number并+1（而非依赖用户输入），同时新增reorder_steps(collection_id, step_list)方法支持拖拽重排，重排时使用db.session.bulk_update_mappings批量更新step_number",gemini-3.1-p,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
1,"在app/services/craft_service.py中实现工艺步骤排序校验：当前create_craft_step未校验step_number的连续性和唯一性，可能导致同一collection下出现重复步骤号或跳号。请修改：创建时自动检测当前最大step_number并+1（而非依赖用户输入），同时新增reorder_steps(collection_id, step_list)方法支持拖拽重排，重排时使用db.session.bulk_update_mappings批量更新step_number",DeepSeek-V4-Pro,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
1,"在app/services/craft_service.py中实现工艺步骤排序校验：当前create_craft_step未校验step_number的连续性和唯一性，可能导致同一collection下出现重复步骤号或跳号。请修改：创建时自动检测当前最大step_number并+1（而非依赖用户输入），同时新增reorder_steps(collection_id, step_list)方法支持拖拽重排，重排时使用db.session.bulk_update_mappings批量更新step_number",Doubao-Seed-2.0-Code,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
1,"在app/services/craft_service.py中实现工艺步骤排序校验：当前create_craft_step未校验step_number的连续性和唯一性，可能导致同一collection下出现重复步骤号或跳号。请修改：创建时自动检测当前最大step_number并+1（而非依赖用户输入），同时新增reorder_steps(collection_id, step_list)方法支持拖拽重排，重排时使用db.session.bulk_update_mappings批量更新step_number",GLM-5.1,困难,代码生成,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
2,"app/services/reservation_service.py的create_reservation方法存在Bug：容量校验只检查了当前预约总人数是否超过capacity，但未考虑同一用户重复预约同一展览的情况，也未在并发请求时加锁，可能导致超卖。请修复：添加UNIQUE(exhibition_id, user_id)约束防止重复预约，使用SELECT...FOR UPDATE行锁保证并发安全，预约失败时返回友好的错误信息",gpt-5.4,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
2,"app/services/reservation_service.py的create_reservation方法存在Bug：容量校验只检查了当前预约总人数是否超过capacity，但未考虑同一用户重复预约同一展览的情况，也未在并发请求时加锁，可能导致超卖。请修复：添加UNIQUE(exhibition_id, user_id)约束防止重复预约，使用SELECT...FOR UPDATE行锁保证并发安全，预约失败时返回友好的错误信息",gemini-3.1-p,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
2,"app/services/reservation_service.py的create_reservation方法存在Bug：容量校验只检查了当前预约总人数是否超过capacity，但未考虑同一用户重复预约同一展览的情况，也未在并发请求时加锁，可能导致超卖。请修复：添加UNIQUE(exhibition_id, user_id)约束防止重复预约，使用SELECT...FOR UPDATE行锁保证并发安全，预约失败时返回友好的错误信息",DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
2,"app/services/reservation_service.py的create_reservation方法存在Bug：容量校验只检查了当前预约总人数是否超过capacity，但未考虑同一用户重复预约同一展览的情况，也未在并发请求时加锁，可能导致超卖。请修复：添加UNIQUE(exhibition_id, user_id)约束防止重复预约，使用SELECT...FOR UPDATE行锁保证并发安全，预约失败时返回友好的错误信息",Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
2,"app/services/reservation_service.py的create_reservation方法存在Bug：容量校验只检查了当前预约总人数是否超过capacity，但未考虑同一用户重复预约同一展览的情况，也未在并发请求时加锁，可能导致超卖。请修复：添加UNIQUE(exhibition_id, user_id)约束防止重复预约，使用SELECT...FOR UPDATE行锁保证并发安全，预约失败时返回友好的错误信息",Qwen3.6-Plus,困难,Bug 修复 / 调试,"Python,Flask,SQLAlchemy,SQLite","非遗档案,传承人,藏品管理,工艺步骤,展览预约"
